,Faculty Name,Faculty Link,Faculty Bios
10,"Sang-Eun Byun, Ph.D.",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/byun_sang-eun.php,"Ph.D., Michigan State University, East Lansing, Mich., U.S.A, 2006 M.S., Kyunghee University, Seoul, Korea, 1998 B.S., Andong National University, Andong, Korea, 1996 Sang-Eun Byun is an associate professor in the Department of Retailing at the University of South Carolina. Byun received a Ph.D. in Retailing from Michigan State University. Before joining the University of South Carolina in August 2016, she worked at Auburn University for 10 years as an assistant/associate professor in apparel merchandising. She currently teaches Retail Promotion and is the first instructor who teaches Keyhole Social Listening Certification Programs. She is also a WiX certified instructor. Her research interests include (1) consumers cognitive, emotional, neural, and behavioral reactions in offline/online retail environments, (2) customer engagement and experience creation, (3) CSR communication & conscious marketing, and (4) small business and entrepreneurship. Her research has employed surveys, experiments, qualitative research, and mixed methods. She received best paper or outstanding paper awards from several nationally and internationally recognized conferences and refereed journals. Her research has appeared in top ranked journals including Journal of Business Research, Psychology and Marketing, Journal of Business Ethics, Journal of Retailing and Consumer Research, Clothing and Textiles Research Journal, and Frontiers in Neuroscience. She was also honored to receive two prestigious teaching awards at Auburn University and Michigan State University. Byun, S.-E., Han, S., Kim, H., & Centrallo, C. (in press). ""US small retail businesses perception of competition: Looking through a lens of fear, confidence, or cooperation."" Journal of Retailing and Consumer Services. Ginder, W., Kwon, W.-S., & Byun, S.-E. (in press). ""Effects of internal-external congruence-based CSR positioning: An attribution theory approach."" Journal of Business Ethics. Manveer, M., Kwon, W.-S.,&Byun, S.-E. (2018). ""Shifting value perceptions among young urban Indian consumers: The role of need for distinctiveness and western acculturation."" Journal of Retailing and Consumer Services, 44(June), 127-133. Rashid, S.&Byun, S.-E. (2018). Are consumers willing to go the extra mile for fair trade products made in a developing country? A comparison with made in USA products at different prices. Journal of Retailing and Consumer Services, 41(March), 201-210. Lou, Y. & Byun, S.-E. (2018). Stress-driven spending: Correlates of international students adjustment strains and compulsive online buying. Journal of International Students, 8(4), 15221548. Goodman, A.M., Wang, Y., Kwon, W-S., Byun, S.-E., Katz, J.S. & Deshpande, G. (2017). ""Neural correlates of consumer buying motivations: A 7T functional magnetic resonance imaging (fMRI) study."" Frontiers in Neuroscience.11: 512. PMID 28959182 DOI: 10.3389/fnins.2017.00512. (Frontiers in Neuroscience is thenumber one most cited journal in the field of neuroscience.)Manveer, M. & Byun, S.-E. (2017). To retrench or invest? Turnaround strategies during a recessionary time. Journal of Business Research, 80(11), 24-34. Kim, H., Byun, S.-E., Choi, S., & Lee, K.-H. (2016). ""The use of Facebook in international multi-course collaborative projects in fashion merchandising curriculums."" Fashion, Industry and Education, 14(1), 40-49. Manveer, M., Byun, S.-E., & Li, Y. (2015). ""Acclimatizing to the recession: A grounded theory perspective of the U.S. retail industrys realignment strategies between 2008 and 2011."" International Journal of Retail and Distribution Management, 43(8), 775-792.HIGHLY COMMENDED PAPER AWARD.Ginder, W., & Byun, S.-E. (2015). ""Past, present, and future of gay and lesbian consumer research: Critical review of the quest for the queer dollar."" Psychology and Marketing, 32(8), 821-841. Mann, M., Byun, S.-E., Kim, H.-J., & Hoggle, K. (2014). ""Top apparel companies corporate social responsibility communications on the Websites: Range, strategies, problems and opportunities."" Journal of Business Ethics. 122(4), 599-622. Byun, S., & Byun, S.-E. (2013). ""Exploring perceptions toward biometric technology in service encounters: A comparison of current users and potential adopters."" Behavior and Information Technology. 32(1), 217-230. Byun, S.-E., & Sternquist, B. (2012). ""Here-today-gone-tomorrow: Consumer reactions to perceived limited availability."" Journal of Marketing Theory and Practice, 20(2), 223-234. Byun, S.-E., Kim, H.-J., & Duffey, M. (2012). ""A multi-course collaborative project within a global context: Multi-dimensional learning outcomes for merchandising and interior design majors."" Clothing and Textiles Research Journal, 30(3), 200-216. Byun, S.-E. (2011). ""Consumer response to seller-induced perishability: Perceived desirability, urge to buy, and purchase acceleration."" International Journal of Costume and Fashion, 11(2), 53-64. Byun, S.-E., & Mann, M. K. (2011). ""Influence of others: The impact of perceived human crowding on perceived competition, emotions and hedonic shopping value."" Clothing and Textiles Research Journal, 29(4), 284-297. CTRJ 50 Most-Read Articles in 2012. Byun, S.-E., & Sternquist, B. (2011). ""Fast fashion and in-store hoarding: The drivers, moderator, and consequence."" Clothing and Textiles Research Journal, 29(3), 187-201. CTRJ 50 Most-Read Articles in 2012. Mann, M. K., & Byun, S.-E. (2011). ""Assessment of five competitive forces of the Indian apparel retail industry: Entry and expansion strategies for foreign retailers."" Journal of Textile and Apparel, Technology and Management, 7(2), 1-14. Mann, M. K., & Byun, S.-E. (2011). ""Accessing apparel retail opportunities in India: Porters Diamond Approach."" Journal of Fashion Marketing and Management, 15(2), 194-210. Byun, S.-E., & Sternquist, B. (2010). ""Reconceptualization of price mavenism: Do Chinese consumers get a glow when they know?"" Asia Pacific Journal of Marketing and Logistics, 22(3), 279-293. OUTSTANDING PAPER AWARD. Byun, S.-E., & Sternquist, B. (2008). ""The antecedents of in-store hoarding: The measurement and application in the fast fashion retail environment."" The International Review of Retail, Distribution, and Consumer Research, 18(2), 133-147. Sternquist, B., Byun, S.-E., & Jin, B. (2004). ""The dimensionality of price perceptions: A cross-cultural comparison of Asian consumers."" The International Review of Retail, Distribution, and Consumer Research, 14(1), 83-100. Byun, S., & Byun, S.-E. (2003). ""Study on effective online advertising."" Korean Internet Business Research, 4(1), 119-131. Byun, S.-E., & Kim, I.-S. (1999). ""The effectiveness of negative appeal advertisements: Focusing on apparel ads with social issues."" Journal of the Korean Society of Clothing and Textiles, 23(7), 953-954."
11,"Jeffrey M. Campbell, Ph.D., MBA., B.S.",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/campbell_jeffrey.php,"Ph.D., University of Tennessee, Knoxville, Tenn.M.B.A., University of Texas at Arlington, Arlington, TexasB.S., Valparaiso University, Valparaiso, Ind. Jeffrey M. Campbell serves as department chair and associate professor of retailing at the University of South Carolina. Campbell serves on the Higher Education Advisory Board for the Category Management Association. He received his Ph.D. in retail, hospitality, and tourism from the University of Tennessee, Knoxville, with a minor in marketing. Previously, he completed his M.B.A. from the University of Texas at Arlington and his B.S. from the Valparaiso University in business administration with a concentration in human resources management. Prior to academia, Campbell spent 13 years in the retail industry in both department store and specialty store formats. He has industry experience in buying, merchandise planning, store planning, merchandise allocation, inventory planning, inventory accounting, warehousing and loss prevention, as well as store management. Campbells research has been published in a number of retailing, marketing, and hospitality journals including Journal of Retailing and Consumer Services, International Journal of Retail and Distribution Management, International Review of Retail, Distribution, and Consumer Research, Journal of International Consumer Marketing, Journal of Food Products Marketing, International Journal of Hospitality Management, Journal of Hospitality and Tourism Research, and Journal of Foodservice Business Research as well as small business journals including Journal of Small Business and Entrepreneurship, Journal of Small Business Strategy, and International Journal of Entrepreneurship and Small Business. Campbell has also presented his research both domestically and abroad through various academic venues such as the American Marketing Association / American Collegiate Retailing Association (AMA/ACRA) triennial conference and the International Food Marketing Research Symposium as well as to The Arnold School of Public Health and The South Carolina Department of Agriculture. Campbell has also received a number of grant awards including a Federal-State Marketing Improvement Program (FSMIP) Grant through the United States Department of Agriculture which focuses on Millennial consumers and state agricultural brands, the UofSC Office of the Provost Social Sciences Grant for helping small South Carolina farms, the College of HRSM Grant to explore agro-tourism in Honduras, as well as from Patriots Point Maritime Museum to explore retail patronage. Along with researching and publishing, Campbell serves on the Editorial Review Board of the Journal of International Food and Agribusiness Marketing and as a Board of Advisors Member for The Institute of Food Products Marketing. He is an Affiliated Scholar with The Arnold School of Public Health and he also serves as a journal reviewer for a number of journals across the retailing, small business, hospitality, and tourism disciplines. He is currently a member of the American Marketing Association, American Collegiate Retailing Association, and Lexington County South Carolina Farm Bureau. Rosenbaum, M., Contreras Ramrez, G., Edwards, K., Kim, J., Campbell, J. M., and Bickle, M. (accepted August 2017). ""The digitization of health care retailing."" Journal of Research in Interactive Marketing. Sox, C., and Campbell, J. M. (accepted March 2017). ""Virtually impossible: Assessing factors for technology acceptance within the meeting environment."" Event Management. Campbell, J. M., and Park, J. (2017). ""Extending the resource-based view: Effects of strategic orientation toward community on small business performance."" Journal of Retailing and Consumer Services, 34, 302-308. Park, J., and Campbell, J. M. (2017). ""SMEs' corporate citizenship: Collectivism, market orientation and reciprocity."" Journal of Small Business & Entrepreneurship, 29(2), 120-139. Sox, C. B., Kline, S. F., Crews, T. B., Strick, S. K., and Campbell, J. M. (2017). ""Virtual and hybrid meetings: Gaining generational insight from industry experts."" International Journal of Hospitality & Tourism Administration, 18(2), 133-170. Sox, C., Campbell, J., Kline, S., Strick, S., and Crews, T. (2016). ""Technology use within meetings: A generational perspective."" Journal of Hospitality and Tourism Technology, 7(2), 158-181. Campbell, J. M., and Fairhurst, A. (2016). ""Reducing the intention-to-behaviour gap for locally produced foods purchasing: The role of store, trust, and price."" International Journal of Retail & Distribution Management, 44(5), 508-523. Remar, D., Campbell, J., and DiPietro, R.B. (2016). ""The impact of local food marketing on purchase decision and willingness to pay in a foodservice setting."" Journal of Foodservice Business Research, 19(1), 89-108. Campbell, J. M., and Park J. (2016). ""Internal and external resources of competitive advantage for small business success: Validation across family ownership."" International Journal of Entrepreneurship and Small Business, 27(4), 505-524. Campbell, J. M., Martinelli, E., and Fairhurst, A. (2015). ""Italian and U.S. consumers of local foods: An exploratory assessment of invariance."" Journal of International Consumer Marketing, 27(4), 280-294. Sox, C., Kline, S., Crews, T. Strick, S. andCampbell, J. (2015 in press). Virtual and hybrid meetings: A mixed research synthesis of 2002 - 2012 research."" Journal of Hospitality and Tourism Research, DOI:10.1177/1096348015584437 05-05. Campbell, J. (2014). ""Cooperate or compete: The relationship of strategic orientation and firm performance for farmers' market vendors."" Journal of Small Business and Entrepreneurship, 27(1), 27-42. Campbell, J. M. and DiPietro, R. B. (2014). ""Sign of the times: Testing consumer response to local food signage within a casual dining restaurant."" Journal of Retailing and Consumer Services, 21(5), 812-823. Campbell, J., DiPietro, R. B., and Remar, D. (2014). ""Local foods in a university setting: Price consciousness, product involvement, price/quality inference and consumer's willingness-to-pay."" International Journal of Hospitality Management, 42, 39-49. DiPietro, R. B., and Campbell, J. (2014). ""The influence of servicescape and local food attributes on pleasure and revisit intention in an upscale-casual dining restaurant."" FIU Hospitality Review, 31(4), Article 1. Campbell, J. M., andFairhurst, A. (2014). ""Billion dollar baby: Local foods and U.S. grocery."" Journal of Food Products Marketing, 20(3), 215-228. Campbell, J. M. (2013). ""Muy local: Differentiating Hispanic and Caucasian shoppers of locally produced foods in US grocery."" Journal of Retailing and Consumer Services, 20(3), 325-333. Campbell, J. (2013). ""Antecedents to purchase intentions for Hispanic consumers: a 'local' perspective."" The International Review of Retail, Distribution, and Consumer Research, 23(4), 440-455. Campbell, J. M., Line, N., Runyan, R., and Swinney, J. (2011). ""The moderating effect of family ownership on firm performance: An examination of entrepreneurial orientation and social capital."" Journal of Small Business Strategy, 21(2), 27-45."
12,Kimberly Chamberlain,https://sc.edu/study/colleges_schools/hrsm/faculty-staff/chamberlain_kimberly.php,"B.A., Pastoral Ministries with a minor in psychology, San Diego Christian College, Santee California, 1994M.A., Christian Education, Biola University, La Mirada California, 1999 After graduating from Biola, Kimberly Chamberlain started her career in higher education withher first position working in residence life at Cornerstone University in Grand Rapids, Michigan. Chamberlaincontinued working in higher education/residence life at Baylor University in Waco Texas, University of St. Francis in Joliet Il, Grand Canyon University in Phoenix, Ariz., Concordia University Irvine, Irvine, Calif., University of Southern Mississippi in Hattiesburg, Miss., Columbia College, Columbia. S.C. Through out Chamberlain's career in higher education, she has had the opportunity to teach first-year, worldview/world religions, leadership, and online courses. Chamberlain haslead training retreats, presented at conferences, developed sophomore persistence programs, created and facilitated a student organization to end relationship violence, and developed students using a strength-based model. Kimberly lives here in Columbia with her two dogs. She enjoys involvement in her church, reading, writing, and spending time with people."
13,"Jessica Pack Chavis, M.S.",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/chavis_jessica.php,"M.S., Hotel, Restaurant and Tourism Management, University of South CarolinaB.S., Business Administration, Management Concentration, Winthrop UniversityJessica Chavis earned her master's degree in hotel, restaurant and tourism management from the University of South Carolina and her bachelor of science in business administration with a management concentration from Winthrop University. Prior to coming to UofSC, Chavis worked in the private club industry for approximately 10 years, specializing in food and beverage, event / wedding planning, staff development and employee engagement. During her time as a club manager, Chavis learned how imperative it is to provide quality service to her club members. To do that, she knew it was integral that her employees were treated like family and given all of the tools / resources to do their jobs to the best of their abilities. Engaged employees are more efficient, effective and happier at work. Now as a senior instructor, Chavis brings that same engagement mentality into the classroom to create an environment that stimulates passion. Utilizing hands-on learning, in-class debates and small-group activities, course content is meant to develop the student to become a more well-rounded professional. Chavis also uses her own club and event planning background to help ready students to work at a variety of golf clubs throughout Georgia and the Carolinas during the professional golf tournament season. Students get to experience what it is like to work at a mega-golf tournament, providing quality service to thousands of guests in a real-world environment. Chavis serves as the group leader for the student chapter of Club Managers Association of America."
14,"Doug Cogdell, M.S.",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/cogdell_doug.php,"Doug Cogdell serves as director of information technology services for the College of Hospitality, Retail and Sport Management."
15,"Tena B. Crews, Ed.D., M.A.",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/crews_tena.php,"Ed.D., Business Education, Minor in Management Information Systems, University of Georgia, Athens, Georgia,1994M.A., Secondary Education, Minor in Business Education, Endorsement in Data Processing, Ball State University, Muncie, Indiana, 1988B. S., Business Education, Minor in Multicultural Education, Endorsement in Driver Education,Ball State University, Muncie, Indiana Prior to graduating from the University of Georgia (UGA), Tena Crews taught at the secondary and technical school levels teaching business and technology courses. After graduating from UGA, Crews served as the technology coordinator developing the first schoolwide network at an elementary school and then began her higher education career in 1996 at Ball State University (BSU). She then continued her higher education career at the University of West Georgia and the University of South Carolina continuing to teach business and technology courses. Crews has also served the College of Hospitality, Retail and Sport Management and university in several administrative roles. For the HRSM, she has served as the director of Online Learning and Development, director of theBachelor of Arts in Interdisciplinary StudiesDegree Program, interim Retailing department chair, associate dean of Academic Programs and associate dean of Operations and Diversity. For the University, she has served as the associate director of technology pedagogy for the Center for Teaching Excellence and the associate provost for Academic Programs and director of Distributed Learning. South Carolina Business Education Association (SCBEA)SPTE 274Sox, C., Kline, S., Crews, T., Strick, S. & Campbell, J. (In Press). ""Virtual and hybrid Meetings: Gaining generational insight from industry experts."" International Journal of Hospitality & Tourism Administration. Chalupa, M., Bordonada, T., & Crews, T. B. (2017). ""Assessment in the Business Education Classroom."" Chapter: The effects on online assessment on student achievement, National Business Education Association (NBEA) 2017 NBEA Yearbook Assessment Strategies in Business Education, No. 55. Sox, C., Campbell, J., Kline, S., Strick, S., & Crews, T. B. (2016). ""Technology use within meetings: A generational perspective."" Journal of Hospitality and Tourism Technology, 7(2). Crews, T. B. & Wilkinson, K. (2015). ""Online quality course design vs. quality teaching: Aligning Quality Matters standards to principle of good teaching."" Journal for Research in Business Education 57(1), 47-63. Wilkinson, K., & Crews, T. B. (2015). ""New generation interfaces for immersive learning."" National Business Education Association (NBEA) 2015 Yearbook Recent and Projected Technology Trends Affecting Business Education, No. 53. Sox, C. B., Kline, S. F., Crews, T. B., Strick, S. K., & Campbell, J. M. (2015). ""Virtual and hybrid meetings: A mixed research synthesis of 2002-2012 research."" Journal of Hospitality & Tourism Research, 1-40. DOI: 10.1177/1096348015584437. Crews, T. B., Wilkinson, K. & Neill, J. (March 2015). ""Principles for good practice in undergraduate education: Effective online course design to assist students' success."" MERLOT Journal of Online Learning and Teaching, 11(1), 87-103. Crews, T. B., & Neill, J. K. (2014). ""Preferred delivery method for online instruction: Secondary students perceptions."" Journal for Applied Research in Business Instruction, 12(1), 1-6. Sox, C., Crews, T., B., & Kline, S. F. (2014). ""Virtual and hybrid meetings for Generation X: Using the Delphi method to determine best practices, opportunities, and barriers."" Journal of Convention & Event Tourism, 15(2), 150-169."
16,"Collin W. Crick, M.Ed.",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/crick_collin.php,"Collin W. Crick is thedirector of enrollment management and professional development for the College of Hospitality, Retail and Sport Management and has served for 20+ years at the University of South Carolina.Crick is responsible for recruitment and enrollment management of all HRSM degree programs. He also coordinates the professional development seminar course required for HRSM undergraduates. Prior to joining the College of HRSM,Crick served six years as the director of student-athlete development in the USC Athletics Department. He was an academic advisor for two years in the USC Moore School of Business and spent three years as an admissions counselor for USC Undergraduate Admissions. In addition to his responsibilities in student recruitment and enrollment,Crick is the coordinator and instructor of HRSM 301, the college's professional development seminar. He also teaches an HRSM freshmen section of University 101 and is the advisor to the College of HRSM Ambassadors student organization. Crickis a native of South Carolina and a lifelong Gamecock. He received a master's degree in higher education administration from USC in 2004 and a bachelor's degree in psychology from USC in 1997. His wife, Betsy, is also a native of South Carolina and a graduate of the University of South Carolina. They have two daughters, Hailey and Rebecca. HRSM 301- HRSM Professional Development"
17,Sharonna Cruz,https://sc.edu/study/colleges_schools/hrsm/faculty-staff/cruz_sharonna.php,"Sharonna Cruzmanages the HRSM Copy Center where she has built a strong reputation for outstanding customer service. Cruz received a Bachelor of Science in Business, Associate of Arts degree and a certificate in human resource management from the University of Phoenix.Cruz has a son named Legend whom she loves spending time with. She also enjoys volunteering at her local animal shelter, and practicing yoga and meditation."
18,"David A. Crdenas, Ph.D., M.S.",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/cardenas_david.php,"B.S., North Carolina State University, 1995M.S., North Carolina State University, 2001Ph.D., North Carolina State University, 2005 David A. Crdenas serves as interim dean of the College of Hospitality, Retail and Sport Management and associate professor at the University of South Carolina in the School of Hotel, Restaurant and Tourism Management. Crdenas received his Ph.D. in recreation, tourism and parks management from North Carolina State University and prior to joining the faculty at the University of South Carolina, he was a faculty member at the University of North Carolina Greensboro. Crdenas has been a visiting professor in Shandong University in China, Inter-Continental University of the Caribbean in Curacao and mostly recently in Aruba with the University of Aruba. He has lead several service learning study abroad trips to Ecuador, S.A. His research interests are in sustainable development, resident attitudes and tourism education. He has extensive experience working on community-based tourism planning projects in the United States and Ecuador, specifically working to engage and involve local residents in the sustainable tourism development process. His research has been published in the top-tier tourism and recreation journals such as the Journal of Sustainable Tourism, Tourism Analysis, Journal of Destinations Marketing, and Journal of Leisure Research, and Journal of Sport Management and presented his work at several regional, national and international conferences. In 2012 and 2008, he received Teacher of the Year in his academic unit and in 2010 was inducted into Phi Beta Delta International Scholars Honor Society. Crdenas was born and raised in Quito, Ecuador, and speaks English and Spanish."
19,Katye Daley,https://sc.edu/study/colleges_schools/hrsm/faculty-staff/daley_katye.php,"B.A. English, University of South Carolina 2009Katelyn (Katye) Daley serves as the director of development for the College of Hospitality, Retail and Sport Management.She has spent more than 10 years in the hospitality industry, having worked for Destination Hotels, Viceroy Hotels & Resorts, Choice Hotels and Hilton. Most recently, Daley worked for 5 years as national sales manager at Wild Dunes Resort in Charleston, South Carolina."
